name,price,description
Foam Dinner Plate,error: no such column: grocery,error: no such column: grocery
"Sauce - Soya, Light",error: no such column: grocery,error: no such column: grocery
"Pasta - Spaghetti, Dry",error: no such column: grocery,error: no such column: grocery
Allspice - Jamaican,error: no such column: grocery,error: no such column: grocery
Containter - 3oz Microwave Rect.,error: no such column: grocery,error: no such column: grocery
Oyster - In Shell,error: no such column: grocery,error: no such column: grocery
Chips - Potato Jalapeno,error: no such column: grocery,error: no such column: grocery
"Lid - High Heat, Super Clear",error: no such column: grocery,error: no such column: grocery
Beans - French,error: no such column: grocery,error: no such column: grocery
Honey - Lavender,error: no such column: grocery,error: no such column: grocery
Icecream - Dstk Cml And Fdg,error: no such column: grocery,error: no such column: grocery
Cake - French Pear Tart,error: no such column: grocery,error: no such column: grocery
Star Fruit,error: no such column: grocery,error: no such column: grocery
English Muffin,error: no such column: grocery,error: no such column: grocery
"Sauce - Soya, Dark",error: no such column: grocery,error: no such column: grocery
